variable,count,mean,std,min,25%,50%,75%,max
habitaciones,186507.0,4.987260531776287,28.846085330255416,0.0,1.0,1.0,4.0,5105.0
camas,186507.0,9.05429286836419,37.38521078658845,0.0,1.0,4.0,10.0,4500.0
num_emp1,186507.0,1.651680633970843,20.8997200990665,0.0,0.0,0.0,1.0,2761.0
